productName,productSubtitle,ProductPrice,productRatingCount,ProductTotalRating,productshiping,productseller
Google Pixel 6A 128GB Smartphone T-MOBILE AT&T VERIZON SPECTRUM XFINITY- Good,Good - Refurbished,$114.99,0,0,from United States,"dealscaly (134,376) 99%"
Apple iPhone 13 Pro 256GB Unlocked AT&T T-Mobile Verizon Excellent Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$569.95,0,0,from United States,"supplytronics (102,862) 98.8%"
Apple iPhone X 256GB Space Gray Factory Unlocked A1865 ,Pre-Owned,$128.00 to $262.00,5.0 out of 5 stars.,3,from United States,"solarcprod (6,506) 97.2%"
Apple iPhone 12 256GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$299.95,0,0,from United States,"supplytronics (102,862) 98.8%"
SAMSUNG GALAXY NOTE 10 S10 S20+ Ultra S21 - UNLOCKED - MANY MODELS - VERY GOOD,1 YEAR WARRANTY🔥60 DAY FREE RETURNS🔥FREE FEDEX 2 DAY,$109.99 to $359.99,0,0,from United States,"gadget-solutions (1,448) 96.7%"
Motorola RAZR 2020 5G 256GB 6.2'' Polished Graphite T-Mobile Unlocked - Open Box,Open Box · Motorola Razr 5G · 256 GB · AT&T,$259.00,0,0,from United States,"teeerashop (3,125) 99.1%"
Apple iPhone 12 64GB Unlocked Smartphone - Good,FREE 2DAY SHIPPING-60DAY RETURNS-1YR ALLSTATE WARRANTY,$255.95,0,0,from United States,"bidallies (347,295) 98.7%"
Apple iPhone 11 Pro Max 512GB Verizon GSM Unlocked T-Mobile AT&T LTE - Very Good,Very Good - Refurbished,$399.97,5.0 out of 5 stars.,25,from United States,"tekreplay (101,256) 97.1%"
Apple iPhone 12 Pro 512GB Unlocked AT&T T-Mobile Verizon Very Good Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$394.95,0,0,from United States,"supplytronics (102,862) 98.8%"
"Unlocked 7.3"" S23 Ultra 5G Smartphone 8GB+256GB Android 13 Dual SIM Mobile Phone",Brand New,$139.80,0,0,from China,zhilian9 (22) 92.3%
Apple iPhone 13 256GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$437.95,0,0,from United States,"supplytronics (102,862) 98.8%"
Wingtech REVVL V+ 5G REVVL V+ 5G T-mobile Unlocked 64GB Black Good,"Free Shipping, Free 30 Day Returns",$64.99,0,0,from United States,"yywirelesss (133,584) 98.3%"
Apple iPhone SE 2nd Gen A2275 64GB Red Fully Unlocked BOTTOM MICROPHONE,Parts Only · Apple iPhone SE (2nd Generation) · 64 GB · AT&T,$37.00,5.0 out of 5 stars.,82,from United States,"gadget-solutions (1,448) 96.7%"
Apple iPhone 13 Pro 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY,$519.95,5.0 out of 5 stars.,1,from United States,"supplytronics (102,862) 98.8%"
Wingtech REVVL V+ 5G WTRVL5G T-Mobile Unlocked 64GB Nebula Black C,"Free Shipping, Free 30 Day Returns",$54.99,0,0,from United States,"yywirelesss (133,584) 98.3%"
Apple iPhone 6 Plus 16GB 64GB Factory Unlocked AT&T T-mobile Verizon Good,Pre-Owned,$48.00 to $99.00,0,0,from United States,"solarcprod (6,506) 97.2%"
CAT Phone S62- T-Mobile Unlocked - 128GB - Rugged Waterproof Smartphone,Brand New · 128 GB · Unlocked,$169.99,4.0 out of 5 stars.,8,from United States,"atariels (1,707) 98.5%"
"Apple iPhone 8 (Fair Condition) Factory Unlocked, AT&T, T-Mobile or Verizon",Pre-Owned,$117.99 to $162.99,0,0,from United States,"cocosprinkles (31,800) 99.6%"
